,id,name,audience_size,country,topic
0,6003103801917,Royal Doulton,258710,,
1,6003554853263,Tower Heist,356610,,
2,6003006086492,Bathstore,32090,,
3,6003332326741,Family Guy Fans,37120,,
4,6003104481229,Joseph Gordon-Levitt,5866260,,
5,6003243604899,Películas de acción,737805410,,
6,6003498473425,Cracovia,13917180,,
7,6003224753545,Smashing Magazine,81430,,
8,6003351975060,Hvar,659280,,
9,6003385289800,Auvernia,1672810,,
10,6003342700730,Paula Patton,355990,,
11,6003488643857,Train (banda),5587990,,
12,6003566837318,Santa Cruz skateboards,415860,,
13,6003158198275,Juegos para móviles,176295620,,
14,6003358221787,Polinesia Francesa,1574510,,
15,6003374850325,Mezclilla,104744610,,
16,6003732018104,The Legend of Zelda (videojuego),1362760,,
17,6003276620151,Kristen Wiig,135190,,
18,6003153229058,Alegría (emoción),267861020,,
19,6004965175100,White Zombie,97550,,
20,6003135738440,Duke Nukem 3D,38600,,
21,6003135243408,Perca,4310290,,
22,6003122588524,Feist,206420,,
23,6003278155876,Heist film,8041580,,
24,6003234449649,Eagle (Idaho),687010,,
25,6003357436441,Oreo,74423830,,
26,6003780133452,Iceland Airwaves,74190,,
27,6003312420454,Anexo:Óscar a la mejor película,5809340,,
28,6003219448698,Record Collector,99710,,
29,6003142785990,Corfú,4775300,,
30,6003430384170,Little Britain,350160,,
31,6003779167852,Maximum the Hormone,128370,,
32,6003290571856,Tee-ball,210700,,
33,6002867897622,Haití,30973270,,
34,6003245465167,Periodismo,458751110,,
35,6003315944714,Barniz,7281930,,
36,6003395338806,Selección de fútbol de Suiza,2305820,,
37,6003203326612,Universidad de París X Nanterre,70990,,
38,6002933615973,Universidad de Alejandría,2521310,,
39,6003746294946,Christian Dior,49212750,,
40,6003091045416,Sábado gigante,199320,,
41,6003301901628,Sebadoh,39160,,
42,6003240011413,Maquinaria de construcción,61057630,,
43,6003312993611,Nikita (película),1124280,,
44,6003353314730,Dispositivo de almacenamiento de datos,3743040,,
45,6003339559417,Chapado de oro,1310760,,
46,6009484278913,Rafflecopter,10770,,
47,6011234475137,Passafire,48850,,
48,6003508694563,Evanescence,4081190,,
49,6003125702939,Thee Oh Sees,67550,,
50,6003132791339,Sándwiches,158448570,,
51,6003129655917,Charlie Parker,1167610,,
52,6003405457143,The Karate Kid,1750180,,
53,6003473893564,Política exterior,2496050,,
54,6003133060928,Croché,72672850,,
55,6005301170000,The Bachelor,14914530,,
56,6003898689560,Disney Channel (Brasil),1260720,,
57,6003124304016,Eagle Farm Racecourse,43600,,
58,6003253343311,Labios ardientes,347370,,
59,6003113047900,Provincia de Trang,45408430,,
60,6003108303342,WORNSTAR CLOTHING,553280,,
61,6003107408392,Pet insurance,3770710,,
62,6003130383045,Amarok (software),2025310,,
63,6003515225631,Warung,16901040,,
64,6003210597333,Aperitivo,15222510,,
65,6003234413249,Reformas,394840382,,
66,6002964038517,Internacional,141469790,,
67,6003196086855,Anne Hathaway,8970940,,
68,6003301632969,Gran Mánchester,12648710,,
69,6002997710782,ASOS.com,53428356,,
70,6003375749274,Escape from New York,64890,,
71,6003403012818,Campsite,21886820,,
72,6017584938873,Giant Food Stores,329690,,
73,6003381997365,Blue Demon,1542510,,
74,6010750572975,War Thunder,1158620,,
75,6013475303415,Sucker Punch,88460,,
76,6003328386980,Boomerang (película),2667710,,
77,6003270555648,Cessna Citation X,25720,,
78,6007069332838,Kate Spade New York,8746690,,
79,6005836000130,Tecnología sanitaria,6164080,,
80,6003198416801,Punchestown Racecourse,42040,,
81,6003486915431,Supercheap Auto,853280,,
82,6002976471059,Dynasty Warriors,224170,,
83,6003103784834,Fenerbahçe Spor Kulübü,5245267,,
84,6003384251605,Astronomía,155210900,,
85,6003051593444,Barry Manilow,1898040,,
86,6003397445889,Diana Ross,2178810,,
87,6003586740873,Finisterre (Francia),1256510,,
88,6003201874524,Indian fast food,3226250,,
89,6003031993893,Hakuōki,13630,,
90,6003088587982,Hips and Curves,185990,,
91,6003068076382,Isetan,1950640,,
92,6003135796208,Daria Werbowy,81090,,
93,6003074772756,Nero,6036960,,
94,6003029225585,Colegio de abogados,4579860,,
95,6002925841521,Tomb Raider (serie),1747730,,
96,6003649939313,Sandvik,278090,,
97,6003719975462,Rock de Estados Unidos,163000550,,
98,6003333789551,Thirteen (film),0,,
99,6003329305980,Cifras,38970490,,
100,6003331479694,Negramaro,981290,,
101,6003397243535,Lana,71656970,,
102,6002949139774,Michelle Monaghan,375100,,
103,6003175402014,Macross,224490,,
104,6003529708663,Michel Sardou,328510,,
105,6003403203418,Exodus,6698440,,
106,6003392946954,Creo Elements/Pro,5712910,,
107,6003072121756,Oxo (food),276430,,
108,6003420896231,Pretoria,23291510,,
109,6003308770453,Moschino,9642720,,
110,6003307144714,Reef (company),6752070,,
111,6003114838900,Vice Ganda,25725650,,
112,6003201684613,Sub Pop,1504770,,
113,6003845869652,Camel,4002810,,
114,6003493899294,Prêt-à-porter,33947800,,
115,6003237382410,Might and Magic,2553900,,
116,6003715751062,TVXQ,1424030,,
117,6003456591803,Walla!,3015620,,
118,6003278864682,Mississippi State,1959040,,
119,6003703068913,childish gambino,104120230,,
120,6003301466769,Adrian Peterson,312120,,
121,6003290737525,Formal wear,20646800,,
122,6003760874516,Middle East University (Jordan),719360,,
123,6003342278587,Gestión de riesgos,21230580,,
124,6003101976640,Angelina Jolie,12805290,,
125,6003180841933,Brookside,773760,,
126,6003138153590,Linóleo,1286710,,
127,6003169790085,Banglalink,13956890,,
128,6003352600719,Administración Federal de Aviación,4261440,,
129,6003325850643,Overland Automobile,396180,,
130,6003198934801,Beer style,2281510,,
131,6003391373403,Kenneth Cole Productions,530860,,
132,6003980613748,Air India Express,587050,,
133,6003574319118,Seth MacFarlane,6578110,,
134,6003332860032,Shemar Moore,4841200,,
135,6003302165028,Reindeer Games,7360,,
136,6003729042462,I love cooking,1176330,,
137,6009623652780,Southside (record producer),3460800,,
138,6003075417693,Sochu,5521710,,
139,6003133223328,Lusso (magazine),327130,,
140,6002994586773,Uriah Heep,159080,,
141,6003147437665,Fútbol Club Barcelona,148716410,,
142,6003374633674,Muffin,20709480,,
143,6004054723348,Hijo,22870010,,
144,6003719208383,Elizabeth Banks,2149240,,
145,6003340562996,Joss Stone,655810,,
146,6003248747367,Llave,7232180,,
147,6003319970618,Scottish Widows,224860,,
148,6003147499726,Servicio de Pesca y Vida Silvestre de los Estados Unidos,671570,,
149,6003401662347,Poetry reading,237510,,
150,6002890377679,Monterrey (California),1074540,,
151,6002988923320,Arnés (escalada),343840,,
152,6003472596663,Arte culinario,96376790,,
153,6003334933256,Portal 2,336520,,
154,6003325329736,General fitness training,11415370,,
155,6002980312723,Universidad de Teherán,329400,,
156,6003122717124,Los Sims 3: triunfadores,31530,,
157,6003373684041,Mike's Hard Lemonade Co.,862990,,
158,6003340099996,Radisson Hotels,4772810,,
159,6003650499113,Smith's Food and Drug,383430,,
160,6003270933102,Bryant Park,121160,,
161,6003679702907,Rhode Island,6572060,,
162,6003072246807,Campeonato Mundial de Natación en Piscina Corta,256780,,
163,6003198641367,Ace Frehley,2212900,,
164,6009178606915,Super Hexagon,2860,,
165,6003182821722,Fox Latinoamérica,7122560,,
166,6003235403611,Disney on Ice,1767180,,
167,6004248780329,Moore Theatre,49160,,
168,6003369839735,Sitges,917450,,
169,6004095719809,El resplandor,3286690,,
170,6003446482880,Ankara,80258310,,
171,6005722523404,Tiwa Savage,4958660,,
172,6003241657811,Nylon Guys,3560,,
173,6003281792454,Overol,35131080,,
174,6003108439833,Skopie,3150330,,
175,6003373311053,Honda Accord,16617130,,
176,6003113864700,Krumping,1129040,,
177,6003382278653,American Veterinary Medical Association,347920,,
178,6011282783716,Las aventuras de Peabody y Sherman,82710,,
179,6003231404485,alien vs predator,155410,,
180,6016448332424,Broods (banda),20920,,
181,6003353168530,Bikram Yoga,3462410,,
182,6003107423501,Odwalla Inc.,105750,,
183,6003440959806,Fry's Food and Drug,400070,,
184,6003186770505,Cultura de Italia,603980,,
185,6003346686448,TimesJobs,1090,,
186,6003130779836,Búlgaro,8530650,,
187,6003052041645,Pijama,73379650,,
188,6002957684723,Parc Astérix,975080,,
189,6003659865438,Armageddon,1421050,,
190,6016159837610,ASAP Mob,681700,,
191,6003420234618,St. Germain (liqueur),11500,,
192,6003109322584,Rene Russo,59110,,
193,392281000933287,G Suite,2086400,,
194,6002997724092,Karthik (1980),8099600,,
195,6003258971309,Rome: Total War,248540,,
196,6003166130285,Mork & Mindy,824970,,
197,6007967428434,Devious Maids,97920,,
198,6003053002645,Mott the Hoople,52380,,
199,6003437086531,Ginuwine,249070,,
200,6004918536474,Duck Dynasty,6446420,,
201,6003528125198,Heathers,198670,,
202,6007838077045,Banshee (serie de televisión),134110,,
203,6003436327683,MariaDB,212490,,
204,6003429226057,Coldwell Banker,12540200,,
205,6003391143406,Federación Internacional de Sociedades de la Cruz Roja y de la Media Luna Roja,840870,,
206,6003129497636,Stradivarius,1092409,,
207,6003335429256,Kingdom of Heaven,197410,,
208,6003901788066,British Film Institute,834510,,
209,6003352571319,Persiana,19554820,,
210,6003384388605,The Counsellor,19010,,
211,6003115633342,Desodorante,46361450,,
212,6003179459733,Lutrinae,9633660,,
213,6003343813828,Teletrabajo,24317570,,
214,6003474559164,América Televisión,32558190,,
215,6003339736193,National Lampoon's Vacation (film series),78590,,
216,6003260244957,Chris Liebing,1109210,,
217,6003341824276,Stonehenge,2142030,,
218,6003610519020,Wardah Cosmetics,6464562,,
219,6003220252558,Puerto Morelos,1087920,,
220,6002995710444,Liga de Campeones de la UEFA,134545142,,
221,6003430811469,Snuggle,9769430,,
222,6003115920392,Sajnin,948620,,
223,6003335929043,Esso,3887460,,
224,6002984440619,Zee Café,4600410,,
225,6003399082253,Western riding,3054480,,
226,6003419245940,Sebastian Stan,1770010,,
227,6003290212525,Pizza Pizza,6118360,,
228,6003453032586,Maya Gabeira,157910,,
229,6003509853604,Hero MotoCorp,7148280,,
230,6002966872755,Justice,114778000,,
231,6003273937999,Arsenal Ladies Football Club,890,,
232,6003284633102,Mynet Çanak 101 Okey,162750,,
233,6003018533250,Alien,2289830,,
234,6003236925611,Limp Bizkit,1552630,,
235,6003384066232,Confederación Brasileña de Fútbol,5453720,,
236,6003418193239,Cita,7697290,,
237,6003221614847,Epica (banda),1665620,,
238,6003605415420,Tinglado,9046780,,
239,6003370572535,Jarritos,944430,,
240,6002837081679,Shock Top,36530,,
241,6003458814689,Stan James,1665120,,
242,6003628813183,Commerce,67128540,,
